pack_category,pack_name,korean,translation
Sơ cấp 1,B1 - Giới thiệu,인사말,"Lời chào"
Sơ cấp 1,B1 - Giới thiệu,반가워요,"Rất vui được gặp"
Sơ cấp 1,B1 - Giới thiệu,반갑습니다,"Rất vui được gặp"
Sơ cấp 1,B1 - Giới thiệu,만나서 반갑습니다,"Rất vui được gặp"
Sơ cấp 1,B1 - Giới thiệu,처음 뵙겠습니다,"Hân hạnh lần đầu gặp mặt"
Sơ cấp 1,B1 - Giới thiệu,죄송해요,"Xin lỗi"
Sơ cấp 1,B1 - Giới thiệu,죄송합니다,"Xin lỗi"
Sơ cấp 1,B1 - Giới thiệu,미안해요,"Xin lỗi"
Sơ cấp 1,B1 - Giới thiệu,미안합니다,"Xin lỗi"
Sơ cấp 1,B1 - Giới thiệu,고마워요,"Cảm ơn"
Sơ cấp 1,B1 - Giới thiệu,고맙습니다,"Cảm ơn"
Sơ cấp 1,B1 - Giới thiệu,감사해요,"Cảm ơn"
Sơ cấp 1,B1 - Giới thiệu,감사합니다,"Cảm ơn"
Sơ cấp 1,B1 - Giới thiệu,안녕히 가세요,"Đi mạnh giỏi"
Sơ cấp 1,B1 - Giới thiệu,안녕히 계세요,"Ở lại bình an"
Sơ cấp 1,B1 - Giới thiệu,안녕히 주무세요,"Chúc ngủ ngon"
Sơ cấp 1,B1 - Giới thiệu,잘자(요),"Chúc ngủ ngon"
Sơ cấp 1,B1 - Giới thiệu,생일 축하해요,"Chúc mừng sinh nhật"
Sơ cấp 1,B1 - Giới thiệu,생일 축하합니다,"Chúc mừng sinh nhật"
Sơ cấp 1,B1 - Giới thiệu,나라,"Quốc gia"
Sơ cấp 1,B1 - Giới thiệu,한국,"Hàn Quốc"
Sơ cấp 1,B1 - Giới thiệu,베트남,"Việt Nam"
Sơ cấp 1,B1 - Giới thiệu,말레이시아,"Malaysia"
Sơ cấp 1,B1 - Giới thiệu,일본,"Nhật Bản"
Sơ cấp 1,B1 - Giới thiệu,미국,"Mỹ"
Sơ cấp 1,B1 - Giới thiệu,중국,"Trung Quốc"
Sơ cấp 1,B1 - Giới thiệu,태국,"Thái Lan"
Sơ cấp 1,B1 - Giới thiệu,호주,"Úc"
Sơ cấp 1,B1 - Giới thiệu,몽골,"Mông Cổ"
Sơ cấp 1,B1 - Giới thiệu,인도네시아,"Inđônêsia"
Sơ cấp 1,B1 - Giới thiệu,필리핀,"Philipin"
Sơ cấp 1,B1 - Giới thiệu,인도,"Ấn Độ"
Sơ cấp 1,B1 - Giới thiệu,영국,"Anh"
Sơ cấp 1,B1 - Giới thiệu,독일,"Đức"
Sơ cấp 1,B1 - Giới thiệu,프랑스,"Pháp"
Sơ cấp 1,B1 - Giới thiệu,러시아,"Nga"
Sơ cấp 1,B1 - Giới thiệu,멕시코,"Mexico"
Sơ cấp 1,B1 - Giới thiệu,사우디아라비아,"Ả Rập Saudi"
Sơ cấp 1,B1 - Giới thiệu,스웨덴,"Thụy Điển"
Sơ cấp 1,B1 - Giới thiệu,카자흐스탄,"Kazakhstan"
Sơ cấp 1,B1 - Giới thiệu,폴란드,"Ba Lan"
Sơ cấp 1,B1 - Giới thiệu,브라질,"Brazil"
Sơ cấp 1,B1 - Giới thiệu,우즈베키스탄,"Uzbekistan"
Sơ cấp 1,B1 - Giới thiệu,칠레,"Chile"
Sơ cấp 1,B1 - Giới thiệu,이탈리아,"Ý"
Sơ cấp 1,B1 - Giới thiệu,학생,"Học sinh"
Sơ cấp 1,B1 - Giới thiệu,회사원,"Nhân viên công ty"
Sơ cấp 1,B1 - Giới thiệu,은행원,"Nhân viên ngân hàng"
Sơ cấp 1,B1 - Giới thiệu,선생님,"Giáo viên"
Sơ cấp 1,B1 - Giới thiệu,의사,"Bác sĩ"
Sơ cấp 1,B1 - Giới thiệu,공무원,"Công chức"
Sơ cấp 1,B1 - Giới thiệu,관광 가이드,"Hướng dẫn viên du lịch"
Sơ cấp 1,B1 - Giới thiệu,주부,"Nội trợ"
Sơ cấp 1,B1 - Giới thiệu,가수,"Ca sĩ"
Sơ cấp 1,B1 - Giới thiệu,배우,"Diễn viên"
Sơ cấp 1,B1 - Giới thiệu,기자,"Kí giả / Phóng viên"
Sơ cấp 1,B1 - Giới thiệu,선수,"Cầu thủ"
Sơ cấp 1,B1 - Giới thiệu,변호사,"Luật sư"
Sơ cấp 1,B1 - Giới thiệu,통역사,"Thông dịch viên"
Sơ cấp 1,B1 - Giới thiệu,소설가,"Tiểu thuyết gia"
Sơ cấp 1,B1 - Giới thiệu,약사,"Dược sĩ"
Sơ cấp 1,B1 - Giới thiệu,운전기사,"Lái xe"
Sơ cấp 1,B2 - Trường học,장소,"Nơi chốn"
Sơ cấp 1,B2 - Trường học,학교,"Trường học"
Sơ cấp 1,B2 - Trường học,도서관,"Thư viện"
Sơ cấp 1,B2 - Trường học,식당,"Nhà ăn / Nhà hàng"
Sơ cấp 1,B2 - Trường học,호텔,"Khách sạn"
Sơ cấp 1,B2 - Trường học,극장,"Nhà hát"
Sơ cấp 1,B2 - Trường học,우체국,"Bưu điện"
Sơ cấp 1,B2 - Trường học,병원,"Bệnh viện"
Sơ cấp 1,B2 - Trường học,은행,"Ngân hàng"
Sơ cấp 1,B2 - Trường học,백화점,"Cửa hàng bách hóa"
Sơ cấp 1,B2 - Trường học,약국,"Hiệu thuốc"
Sơ cấp 1,B2 - Trường học,가게,"Cửa tiệm / Cửa hàng"
Sơ cấp 1,B2 - Trường học,사무실,"Văn phòng"
Sơ cấp 1,B2 - Trường học,강의실,"Giảng đường / Phòng học"
Sơ cấp 1,B2 - Trường học,교실,"Phòng học"
Sơ cấp 1,B2 - Trường học,화장실,"Phòng vệ sinh"
Sơ cấp 1,B2 - Trường học,휴게실,"Phòng nghỉ"
Sơ cấp 1,B2 - Trường học,랩실(어학실),"Phòng Lab"
Sơ cấp 1,B2 - Trường học,동아리방,"Phòng sinh hoạt câu lạc bộ"
Sơ cấp 1,B2 - Trường học,체육관,"Nhà thi đấu thể thao"
Sơ cấp 1,B2 - Trường học,운동장,"Sân vận động"
Sơ cấp 1,B2 - Trường học,강당,"Giảng đường lớn / Hội trường"
Sơ cấp 1,B2 - Trường học,학생 식당,"Nhà ăn học sinh"
Sơ cấp 1,B2 - Trường học,세미나실,"Phòng hội thảo"
Sơ cấp 1,B2 - Trường học,서점,"Hiệu sách"
Sơ cấp 1,B2 - Trường học,책상,"Cái bàn"
Sơ cấp 1,B2 - Trường học,의자,"Cái ghế"
Sơ cấp 1,B2 - Trường học,칠판,"Bảng"
Sơ cấp 1,B2 - Trường học,문,"Cửa"
Sơ cấp 1,B2 - Trường học,창문,"Cửa sổ"
Sơ cấp 1,B2 - Trường học,시계,"Đồng hồ"
Sơ cấp 1,B2 - Trường học,가방,"Cặp sách"
Sơ cấp 1,B2 - Trường học,컴퓨터,"Máy vi tính"
Sơ cấp 1,B2 - Trường học,책,"Sách"
Sơ cấp 1,B2 - Trường học,공책,"Vở"
Sơ cấp 1,B2 - Trường học,사전,"Từ điển"
Sơ cấp 1,B2 - Trường học,지우개,"Cục tẩy"
Sơ cấp 1,B2 - Trường học,지도,"Bản đồ"
Sơ cấp 1,B2 - Trường học,펜,"Bút"
Sơ cấp 1,B2 - Trường học,필통,"Hộp bút"
Sơ cấp 1,B2 - Trường học,이,"Này"
Sơ cấp 1,B2 - Trường học,그,"Kia"
Sơ cấp 1,B2 - Trường học,저,"Đó"
Sơ cấp 1,B2 - Trường học,이것은 (이건),"Cái này"
Sơ cấp 1,B2 - Trường học,그것은 (그건),"Cái kia"
Sơ cấp 1,B2 - Trường học,저것은 (저건),"Cái đó"
Sơ cấp 1,B2 - Trường học,여기,"Vị trí ở gần người nói"
Sơ cấp 1,B2 - Trường học,거기,"Gần người nghe"
Sơ cấp 1,B2 - Trường học,저기,"Xa người nói và nghe"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,가다,"Đi"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,오다,"Đến"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,자다,"Ngủ"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,먹다,"Ăn"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,마시다,"Uống"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,이야기하다,"Nói chuyện"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,읽다,"Đọc"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,듣다,"Nghe"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,보다,"Nhìn / Xem"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,일하다,"Làm việc"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,공부하다,"Học"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,운동하다,"Luyện tập thể thao"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,쉬다,"Nghỉ ngơi"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,만나다,"Gặp gỡ"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,사다,"Mua"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,좋아하다,"Thích"
Sơ cấp 1,B3 - Sinh hoạt hằng ngày,크다,"To / Lớn"
