pack_category,pack_name,korean,translation
🇻🇳 TC3,B1 - 학교생활,학기,học kỳ
🇻🇳 TC3,B1 - 학교생활,과목,môn học
🇻🇳 TC3,B1 - 학교생활,학점,tín chỉ
🇻🇳 TC3,B1 - 학교생활,강의실,phòng học
🇻🇳 TC3,B1 - 학교생활,휴강,nghỉ dạy
🇻🇳 TC3,B1 - 학교생활,종강,"kết thúc khóa học, kết thúc môn học"
🇻🇳 TC3,B1 - 학교생활,중간고사,thi giữa kỳ
🇻🇳 TC3,B1 - 학교생활,기말고사,thi cuối kỳ
🇻🇳 TC3,B1 - 학교생활,학과 사무실,văn phòng khoa
🇻🇳 TC3,B1 - 학교생활,조교,"giáo vụ, sinh viên phụ tá cho giáo sư"
🇻🇳 TC3,B1 - 학교생활,수강하다,"thụ giảng, học"
🇻🇳 TC3,B1 - 학교생활,수강 신청하다,đăng ký học
🇻🇳 TC3,B1 - 학교생활,강의를 듣다,"nghe giảng, dự thính"
🇻🇳 TC3,B1 - 학교생활,청강하다,nghe giảng
🇻🇳 TC3,B1 - 학교생활,보고서를 제출하다,nộp báo cáo
🇻🇳 TC3,B1 - 학교생활,시험을 보다,thi
🇻🇳 TC3,B1 - 학교생활,등록금,tiền đăng ký học
🇻🇳 TC3,B1 - 학교생활,신학기,học kỳ mới
🇻🇳 TC3,B1 - 학교생활,새내기 = 신입생,học sinh mới
🇻🇳 TC3,B1 - 학교생활,재학생,học sinh đang học
🇻🇳 TC3,B1 - 학교생활,졸업생,học sinh tốt nghiệp
🇻🇳 TC3,B1 - 학교생활,동아리,câu lạc bộ
🇻🇳 TC3,B1 - 학교생활,입학하다,nhập học
🇻🇳 TC3,B1 - 학교생활,졸업하다,tốt nghiệp
🇻🇳 TC3,B1 - 학교생활,등록하다,đăng ký
🇻🇳 TC3,B1 - 학교생활,장학금을 받다,nhận học bổng
🇻🇳 TC3,B1 - 학교생활,입학식,"lễ khai giảng, lễ nhập học"
🇻🇳 TC3,B1 - 학교생활,오리엔테이션,giới thiệu định hướng
🇻🇳 TC3,B1 - 학교생활,졸업식,lễ tốt nghiệp
🇻🇳 TC3,B1 - 학교생활,체육대회,đại hội thể thao
🇻🇳 TC3,B1 - 학교생활,MT,dã ngoại tập thể (membership training)
🇻🇳 TC3,B1 - 학교생활,발표회,buổi thuyết trình
🇻🇳 TC3,B1 - 학교생활,축제,lễ hội
🇻🇳 TC3,B1 - 학교생활,사은회,"lễ cảm ơn, lễ cảm ơn thấy cô"
🇻🇳 TC3,B1 - 학교생활,신입생 환영회,lễ đón sinh viên mới
🇻🇳 TC3,B1 - 학교생활,졸업생 환송회,lễ tiễn sinh viên tốt nghiệp
🇻🇳 TC3,B2 - 대인 관계,대인 관계,quan hệ xã hội
🇻🇳 TC3,B2 - 대인 관계,마음이 넓다,rộng lượng
🇻🇳 TC3,B2 - 대인 관계,친절하다,"thân thiện, tử tế"
🇻🇳 TC3,B2 - 대인 관계,인기가 있다,"có tiếng, nổi tiếng"
🇻🇳 TC3,B2 - 대인 관계,성격이 좋다,tính tình tốt
🇻🇳 TC3,B2 - 대인 관계,대인 관계가 좋다,quan hệ xã hội tốt
