pack_category,pack_name,korean,translation
Trung cấp 4,B1 - Thời trang,멋쟁이,"người sành điệu"
Trung cấp 4,B1 - Thời trang,상표/브랜드,"thương hiệu"
Trung cấp 4,B1 - Thời trang,액세서리,"đồ trang sức, phụ kiện"
Trung cấp 4,B1 - Thời trang,패션 감각,"cảm nhận về thời trang"
Trung cấp 4,B1 - Thời trang,신상품,"sản phẩm mới"
Trung cấp 4,B1 - Thời trang,의상/복장,"y phục/ trang phục"
Trung cấp 4,B1 - Thời trang,패션 소품,"sản phẩm thời trang"
Trung cấp 4,B1 - Thời trang,디자인,"mẫu mã, thiết kế"
Trung cấp 4,B1 - Thời trang,옷맵시 / 스타일,"kiểu dáng, phong cách thời trang"
Trung cấp 4,B1 - Thời trang,개성,"cá tính"
Trung cấp 4,B1 - Thời trang,복고풍,"phong trào quay lại những kiểu mẫu cũ"
Trung cấp 4,B1 - Thời trang,머리를 하다,"làm đầu, làm tóc"
Trung cấp 4,B1 - Thời trang,염색을 하다,"nhuộm tóc"
Trung cấp 4,B1 - Thời trang,파마/ 웨이브,"làm đầu xoăn, uốn tóc"
Trung cấp 4,B1 - Thời trang,피부 관리,"chăm sóc da"
Trung cấp 4,B1 - Thời trang,마사지를 하다,"mát xa"
Trung cấp 4,B1 - Thời trang,화장법/메이크업,"cách trang điểm"
Trung cấp 4,B1 - Thời trang,손톱 관리 / 네일 케어,"chăm sóc móng tay"
Trung cấp 4,B1 - Thời trang,성형수술,"phẫu thuật thẩm mỹ"
Trung cấp 4,B1 - Thời trang,유행을 이끌다,"tạo mốt"
Trung cấp 4,B1 - Thời trang,유행에 민감하다,"nhạy cảm với mốt"
Trung cấp 4,B1 - Thời trang,유행을 타다,"theo mốt, đúng mốt"
Trung cấp 4,B1 - Thời trang,유행을 앞서가다,"đi trước mốt"
Trung cấp 4,B1 - Thời trang,유행을 따르다,"chạy theo mốt"
Trung cấp 4,B1 - Thời trang,유행에 뒤처지다,"lỗi mốt"
Trung cấp 4,B1 - Thời trang,최신 유행,"thịnh hành nhất, mốt nhất"
Trung cấp 4,B1 - Thời trang,대유행,"trào lưu mốt"
Trung cấp 4,B1 - Thời trang,유행어,"từ ngữ được sử dụng theo trào lưu, phong trào, từ ngữ đang thịnh hành"
Trung cấp 4,B1 - Thời trang,세련되다,"cao cấp, sang trọng, hợp thời trang"
Trung cấp 4,B1 - Thời trang,촌스럽다,"nhà quê, quê mùa"
Trung cấp 4,B1 - Thời trang,화려하다,"rực rỡ, sặc sỡ"
Trung cấp 4,B1 - Thời trang,단순하다,"đơn giản"
Trung cấp 4,B1 - Thời trang,평범하다,"bình thường"
Trung cấp 4,B1 - Thời trang,단정하다,"đoan chính, đứng đắn"
Trung cấp 4,B1 - Thời trang,차려입다,"chỉnh trang quần áo, chỉnh tề quần áo"
Trung cấp 4,B1 - Thời trang,어울리다,"phù hợp, hợp"
Trung cấp 4,B1 - Thời trang,감각이 있다,"có cảm giác, có khiếu, có giác quan nhạy bén về..."
Trung cấp 4,B2 - Việc nhà,가사,"công việc nhà, việc trong gia đình"
Trung cấp 4,B2 - Việc nhà,전업주부,"người nội trợ"
Trung cấp 4,B2 - Việc nhà,가사 노동,"làm việc nhà"
Trung cấp 4,B2 - Việc nhà,가사 도우미,"người giúp việc trong gia đình"
Trung cấp 4,B2 - Việc nhà,집안일을 하다,"làm việc nhà"
Trung cấp 4,B2 - Việc nhà,살림을 하다,"làm nội trợ"
Trung cấp 4,B2 - Việc nhà,가사를 전담하다,"chuyên đảm trách công việc nhà"
Trung cấp 4,B2 - Việc nhà,가사를 분담하다,"phân công công việc nhà"
Trung cấp 4,B2 - Việc nhà,빨랫비누/세제,"xà phòng giặt/chất giặt tẩy"
Trung cấp 4,B2 - Việc nhà,다리미,"bàn là"
Trung cấp 4,B2 - Việc nhà,손빨래,"giặt tay"
Trung cấp 4,B2 - Việc nhà,애벌빨래,"giặt thô"
Trung cấp 4,B2 - Việc nhà,빨래를 하다,"giặt, giặt giũ"
Trung cấp 4,B2 - Việc nhà,세탁기를 돌리다,"mở máy giặt lên"
Trung cấp 4,B2 - Việc nhà,삶다,"luộc"
Trung cấp 4,B2 - Việc nhà,널다,"phơi (quần áo)"
Trung cấp 4,B2 - Việc nhà,개다,"gấp lại"
Trung cấp 4,B2 - Việc nhà,다리다,"là, ủi quần áo"
Trung cấp 4,B2 - Việc nhà,얼룩을 지우다,"tấy vết bẩn"
Trung cấp 4,B2 - Việc nhà,드라이클리닝을 맡기다,"ký gửi quần áo cho tiệm giặt là"
Trung cấp 4,B2 - Việc nhà,대청소,"tổng vệ sinh"
Trung cấp 4,B2 - Việc nhà,빗자루,"cái chối"
Trung cấp 4,B2 - Việc nhà,먼지떨이,"phất trần, chối quét bụi"
Trung cấp 4,B2 - Việc nhà,걸레,"cái giẻ"
Trung cấp 4,B2 - Việc nhà,분리 수거,"phân loại rác thải"
Trung cấp 4,B2 - Việc nhà,쓸다,"quét"
Trung cấp 4,B2 - Việc nhà,닦다,"lau rửa, đánh bóng"
Trung cấp 4,B2 - Việc nhà,털다,"giữ"
Trung cấp 4,B2 - Việc nhà,치우다,"cất, thu dọn"
Trung cấp 4,B2 - Việc nhà,정리하다,"chỉnh đốn, sắp xếp"
Trung cấp 4,B2 - Việc nhà,청소기를 돌리다,"dọn bằng máy hút bụi, hút bụi"
Trung cấp 4,B2 - Việc nhà,걸레질을 하다,"lau chùi"
Trung cấp 4,B3 - Tình cảm,기쁘다,"vui vẻ"
Trung cấp 4,B3 - Tình cảm,행복하다,"hạnh phúc"
Trung cấp 4,B3 - Tình cảm,흐뭇하다,"thỏa mãn, sảng khoái"
Trung cấp 4,B3 - Tình cảm,슬프다,"buồn"
Trung cấp 4,B3 - Tình cảm,괴롭다,"đau khổ"
Trung cấp 4,B3 - Tình cảm,우울하다,"u uất"
Trung cấp 4,B3 - Tình cảm,떨리다,"run rẩy"
Trung cấp 4,B3 - Tình cảm,긴장되다,"căng thẳng"
Trung cấp 4,B3 - Tình cảm,불안하다,"bất an"
Trung cấp 4,B3 - Tình cảm,부끄럽다,"ngượng ngùng"
Trung cấp 4,B3 - Tình cảm,창피하다,"xấu hổ"
Trung cấp 4,B3 - Tình cảm,불쾌하다,"khó chịu, không thoải mái"
Trung cấp 4,B3 - Tình cảm,아쉽다,"tiếc nuối"
Trung cấp 4,B3 - Tình cảm,만족하다,"thỏa mãn"
Trung cấp 4,B3 - Tình cảm,불만스럽다,"bất mãn"
Trung cấp 4,B3 - Tình cảm,무섭다,"sợ hãi"
Trung cấp 4,B3 - Tình cảm,화가 나다,"cáu giận"
Trung cấp 4,B3 - Tình cảm,짜증이 나다,"bực bội"
